method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_012,240,0.5882352941176471,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,255,0.6470588235294118,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,270,0.6470588235294118,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,285,0.6764705882352942,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,300,0.6470588235294118,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,15,0.9705882352941176,0.9705882352941176,0.0,,False
fc_openrouter_gpt_oss_120b,traj_013,30,0.9705882352941176,0.9705882352941176,0.0,,False
fc_openrouter_gpt_oss_120b,traj_013,45,0.8235294117647058,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_013,60,0.8529411764705882,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,75,0.8235294117647058,0.9411764705882353,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,90,0.7647058823529411,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,105,0.7352941176470589,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,120,0.7352941176470589,0.8235294117647058,0.15384615384615385,0.5,False
fc_openrouter_gpt_oss_120b,traj_013,135,0.7352941176470589,0.7941176470588235,0.14285714285714285,0.6666666666666666,False
fc_openrouter_gpt_oss_120b,traj_013,150,0.7058823529411765,0.8235294117647058,0.14285714285714285,0.3333333333333333,False
fc_openrouter_gpt_oss_120b,traj_013,165,0.7647058823529411,0.8235294117647058,0.09090909090909091,1.0,False
fc_openrouter_gpt_oss_120b,traj_013,180,0.7941176470588235,0.8529411764705882,0.1,0.3333333333333333,False
fc_openrouter_gpt_oss_120b,traj_013,195,0.7941176470588235,0.8235294117647058,0.09090909090909091,0.5,False
fc_openrouter_gpt_oss_120b,traj_013,210,0.8235294117647058,0.9117647058823529,0.375,0.75,False
fc_openrouter_gpt_oss_120b,traj_013,225,0.7352941176470589,0.9117647058823529,0.1111111111111111,0.25,False
fc_openrouter_gpt_oss_120b,traj_013,240,0.6764705882352942,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,255,0.7647058823529411,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_013,270,0.7352941176470589,0.8823529411764706,0.0,0.0,False
